h1tg000001l	33392	271910	23.7492	0.00421774
h1tg000002l	136100	1090974	23.6764	0.00428906
h1tg000003l	91184	745621	23.7686	0.00419897
h1tg000004l	87184	667150	23.4607	0.00450741
h1tg000005l	890690	923422	9.90834	0.102133
h1tg000006l	747448	784281	10.2712	0.0939467
h1tg000007l	464474	1078069	17.4434	0.0180161
h1tg000008l	1053128	1091809	9.90771	0.102148
h1tg000009l	904012	948983	10.2834	0.0936837
h1tg000010l	85412	85820	8.00038	0.158475
h1tg000011l	26514	230276	24.047	0.00393822
h1tg000012l	100824	813009	23.7039	0.004262
h1tg000013l	39066	318611	23.7564	0.00421071
h1tg000014l	186226	1531698	23.7956	0.00417295
h1tg000015l	0	576505	+inf	0
h1tg000016l	0	562529	+inf	0
h1tg000017l	2	439811	68.336	1.46691e-07
